Id,Name,Phone,BillingCity,BillingState,OwnerId,CreatedDate
001gK00001Luv6WQAR,Amelia Martin,(02) 4493 1527,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv3zQAB,Andrew Anderson Residence,(02) 4290 1310,Campbelltown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv8LQAR,Andrew J. Anderson Residence,0411029470,Campbelltown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv6aQAB,Ava Mancini,(02) 4609 1651,Liverpool,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv3xQAB,Benjamin Walker Residence,(02) 4232 1248,Ryde,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4GQAR,Charlotte King Residence,(02) 4783 1837,Baulkham Hills,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6SQAR,Chloe Robinson,(02) 4377 1403,Cessnock,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4BQAR,Daniel Clark Residence,(02) 4638 1682,Campbelltown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv8XQAR,Daniel J. Clark Residence,0411124498,Campbelltown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv4HQAR,David Doyle Residence,(02) 4812 1868,Castle Hill,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4CQAR,Ella Ahmed Residence,(02) 4667 1713,Bankstown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4KQAR,Emma Jones Residence,(02) 4899 1961,Charlestown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4rQAB,Ethan Lee Residence,(02) 5856 2984,Castle Hill,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4OQAR,Grace Whitfield Residence,(02) 5015 2085,Warners Bay,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4MQAR,Hannah Smith Residence,(02) 4957 2023,Singleton,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4WQAR,Harper Thompson Residence,(02) 5247 2333,Blacktown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4UQAR,Isabella Hall Residence,(02) 5189 2271,Hurstville,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4PQAR,Jack White Residence,(02) 5044 2116,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv57QAB,James Nguyen Residence,(02) 6320 3480,Ryde,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv3wQAB,Jessica Silva Residence,(02) 4203 1217,Blacktown,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv8bQAB,Joshua J. Patel Residence,0411156174,Penrith,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv4FQAR,Joshua Patel Residence,(02) 4754 1806,Penrith,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4cQAB,Layla Osman Residence,(02) 5421 2519,Hornsby,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv47QAB,Liam Bennett Residence,(02) 4522 1558,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6XQAR,Liam J. Bennett Residence,0410142542,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv4SQAR,Lily Kelly Residence,(02) 5131 2209,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6jQAB,Lucas J. Tran Residence,0410237570,Chatswood,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv4JQAR,Lucas Tran Residence,(02) 4870 1930,Chatswood,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv45QAB,Matthew Kaur Residence,(02) 4464 1496,Wollongong,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv3uQAB,Mia Taylor Residence,(02) 4145 1155,Hurstville,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv6nQAB,Michael J. Young Residence,0410269246,Belmont,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000
001gK00001Luv5fQAB,Michael Young Residence,(02) 7306 4534,Belmont,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv4LQAR,Nathan Ryan Residence,(02) 4928 1992,Newcastle,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
001gK00001Luv5JQAR,Noah Brown Residence,(02) 6668 3852,Raymond Terrace,New South Wales,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000
