Id,Name,Phone,BillingStreet,BillingCity,BillingState,BillingPostalCode,Service_Region__c,OwnerId,CreatedDate,LastModifiedDate,RecordState,MasterRecordId
001gK00001Luv7AQAR,Amelia Martin,(02) 5653 2767,188 Beach Road,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T20:44:13.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv7oQAB,Amelia Martin,(02) 6813 4007,188 Beach Road,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T20:46:00.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv8SQAR,Amelia Martin,(02) 4493 1527,188 Beach Road,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T20:46:00.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv6WQAR,Amelia Martin,(02) 4493 1527,188 Beach Road,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T20:46:53.000+0000,SURVIVOR,
001gK00001Luv46QAB,Amelia Martin Residence,(02) 4493 1527,188 Beach Rd,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T20:44:13.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv4kQAB,Amelia Martin Residence,(02) 5653 2767,188 Beach Rd,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T20:46:35.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv5OQAR,Amelia Martin Residence,(02) 6813 4007,188 Beach Rd,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T20:46:35.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv62QAB,Amelia Martin Residence,(02) 7973 5247,188 Beach Rd,Wollongong,New South Wales,2500,Wollongong,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T20:46:52.000+0000,ABSORBED,001gK00001Luv6WQAR
001gK00001Luv4dQAB,Andrew Anderson Residence,(02) 5450 2550,111 Sunset Rd,Penrith,New South Wales,2750,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:41.000+0000,ABSORBED,001gK00001Luv3zQAB
001gK00001Luv5HQAR,Andrew Anderson Residence,(02) 6610 3790,111 Sunset Rd,Chatswood,New South Wales,2067,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:41.000+0000,ABSORBED,001gK00001Luv3zQAB
001gK00001Luv5vQAB,Andrew Anderson Residence,(02) 7770 5030,111 Sunset Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:41.000+0000,ABSORBED,001gK00001Luv3zQAB
001gK00001Luv3zQAB,Andrew Anderson Residence,(02) 4290 1310,111 Sunset Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:41.000+0000,SURVIVOR,
001gK00001Luv6PQAR,Andrew J. Anderson Residence,0410079190,111 Sunset Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:00.000+0000,ABSORBED,001gK00001Luv8LQAR
001gK00001Luv73QAB,Andrew J. Anderson Residence,0410395950,111 Sunset Rd,Penrith,New South Wales,2750,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:36:59.000+0000,ABSORBED,001gK00001Luv8LQAR
001gK00001Luv7hQAB,Andrew J. Anderson Residence,0410712710,111 Sunset Rd,Chatswood,New South Wales,2067,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:36:59.000+0000,ABSORBED,001gK00001Luv8LQAR
001gK00001Luv8LQAR,Andrew J. Anderson Residence,0411029470,111 Sunset Rd,Campbelltown,New South Wales,2560,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-24T15:37:00.000+0000,SURVIVOR,
001gK00001Luv7EQAR,Ava Mancini,(02) 5769 2891,12 Railway Pde,Hornsby,New South Wales,2077,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T21:32:59.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv7sQAB,Ava Mancini,(02) 6929 4131,12 Railway Pde,Hurstville,New South Wales,2220,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T21:32:59.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv8WQAR,Ava Mancini,(02) 4609 1651,12 Railway Pde,Liverpool,New South Wales,2170,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:04.000+0000,2026-08-23T21:31:08.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv6aQAB,Ava Mancini,(02) 4609 1651,12 Railway Pde,Liverpool,New South Wales,2170,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:34:12.000+0000,SURVIVOR,
001gK00001Luv4AQAR,Ava Mancini Residence,(02) 4609 1651,12 Railway Pde,Liverpool,New South Wales,2170,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:31:32.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv4oQAB,Ava Mancini Residence,(02) 5769 2891,12 Railway Pde,Hornsby,New South Wales,2077,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:34:12.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv5SQAR,Ava Mancini Residence,(02) 6929 4131,12 Railway Pde,Hurstville,New South Wales,2220,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:34:12.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv66QAB,Ava Mancini Residence,(02) 8089 5371,12 Railway Pde,Liverpool,New South Wales,2170,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-23T21:31:32.000+0000,ABSORBED,001gK00001Luv6aQAB
001gK00001Luv4bQAB,Benjamin Walker Residence,(02) 5392 2488,89 Mill Lane,Parramatta,New South Wales,2150,Sydney,005gK00006sTIwDQAW,2026-08-17T07:54:00.000+0000,2026-08-24T15:30:39.000+0000,ABSORBED,001gK00001Luv3xQAB
