Id,Name,StageName,Amount,CloseDate,IsClosed,Owner.Name,Owner.IsActive,Account.Name
006gK00000MmBUjQAN,Amelia Martin Residence - 13.2kW Rooftop Solar,Id. Decision Makers,11520,2026-09-12,false,Hemayet Hossain,true,Amelia Martin
006gK00000MlfzpQAB,Amelia Martin Residence - 13.2kW Rooftop Solar,Qualification,13312,2026-09-22,false,Hemayet Hossain,true,Amelia Martin
006gK00000MmB22QAF,Andrew Anderson Residence - 13.2kW Rooftop Solar,Closed Won,11508,2026-02-15,true,Hemayet Hossain,true,Andrew Anderson Residence
006gK00000MmBE8QAN,Andrew Anderson Residence - 13.2kW Rooftop Solar,Closed Lost,13805,2026-04-12,true,Hemayet Hossain,true,Andrew Anderson Residence
006gK00000MmB7MQAV,Andrew Anderson Residence - 13.2kW Rooftop Solar,Closed Won,9277,2026-05-11,true,Hemayet Hossain,true,Andrew Anderson Residence
006gK00000MmBC8QAN,Ava Mancini Residence - 13.2kW Rooftop Solar,Closed Lost,10713,2026-04-13,true,Hemayet Hossain,true,Ava Mancini
006gK00000MmB5eQAF,Ava Mancini Residence - 13.2kW Rooftop Solar,Closed Lost,14659,2026-03-21,true,Hemayet Hossain,true,Ava Mancini
006gK00000MmB5CQAV,Ava Mancini Residence - 13.2kW Rooftop Solar,Closed Lost,13289,2026-02-11,true,Hemayet Hossain,true,Ava Mancini
006gK00000Mlg0LQAR,Ava Mancini Residence - 13.2kW Rooftop Solar,Needs Analysis,9472,2026-08-19,false,Hemayet Hossain,true,Ava Mancini
006gK00000MmBCaQAN,Ava Mancini Residence - 13.2kW Rooftop Solar,Closed Lost,11817,2026-05-18,true,Hemayet Hossain,true,Ava Mancini
006gK00000MmB3aQAF,Benjamin Walker Residence - 13.2kW Rooftop Solar,Closed Won,13974,2026-01-22,true,Hemayet Hossain,true,Benjamin Walker Residence
006gK00000MmBAWQA3,Benjamin Walker Residence - 13.2kW Rooftop Solar,Closed Won,11265,2026-04-05,true,Hemayet Hossain,true,Benjamin Walker Residence
006gK00000MmB42QAF,Benjamin Walker Residence - 13.2kW Rooftop Solar,Closed Won,15344,2026-03-01,true,Hemayet Hossain,true,Benjamin Walker Residence
006gK00000MmBAyQAN,Benjamin Walker Residence - 13.2kW Rooftop Solar,Closed Won,12369,2026-05-10,true,Hemayet Hossain,true,Benjamin Walker Residence
006gK00000MmBUPQA3,Charlotte King Residence - 13.2kW Rooftop Solar,Needs Analysis,15872,2026-10-22,false,Hemayet Hossain,true,Charlotte King Residence
006gK00000MmBCCQA3,Charlotte King Residence - 13.2kW Rooftop Solar,Closed Lost,8173,2026-05-27,true,Hemayet Hossain,true,Charlotte King Residence
006gK00000MmB5GQAV,Charlotte King Residence - 13.2kW Rooftop Solar,Closed Lost,10138,2026-03-27,true,Hemayet Hossain,true,Charlotte King Residence
006gK00000MmB4MQAV,Charlotte King Residence - 13.2kW Rooftop Solar,Closed Won,15207,2026-01-10,true,Hemayet Hossain,true,Charlotte King Residence
006gK00000MlfzVQAR,Charlotte King Residence - 13.2kW Rooftop Solar,Prospecting,9856,2026-11-01,false,Hemayet Hossain,true,Charlotte King Residence
006gK00000MmBBIQA3,Charlotte King Residence - 13.2kW Rooftop Solar,Closed Won,12259,2026-06-17,true,Hemayet Hossain,true,Charlotte King Residence
006gK00000MmBUXQA3,Chloe Robinson Residence - 13.2kW Rooftop Solar,Needs Analysis,11008,2026-09-06,false,Hemayet Hossain,true,Chloe Robinson
006gK00000MlfzdQAB,Chloe Robinson Residence - 13.2kW Rooftop Solar,Qualification,12800,2026-09-16,false,Hemayet Hossain,true,Chloe Robinson
006gK00000MmBEOQA3,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Lost,9940,2026-04-06,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmBDUQA3,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Lost,14026,2026-04-27,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmB1OQAV,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Won,11782,2026-02-25,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmB6YQAV,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Lost,17399,2026-03-07,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmB6iQAF,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Won,9498,2026-05-26,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmB2IQAV,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Won,14522,2026-02-11,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmB7cQAF,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Won,11707,2026-05-05,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmBEqQAN,Daniel Clark Residence - 13.2kW Rooftop Solar,Closed Lost,11044,2026-05-11,true,Hemayet Hossain,true,Daniel Clark Residence
006gK00000MmBESQA3,David Doyle Residence - 13.2kW Rooftop Solar,Closed Lost,13695,2026-05-20,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmB6cQAF,David Doyle Residence - 13.2kW Rooftop Solar,Closed Lost,14248,2026-01-20,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmB6AQAV,David Doyle Residence - 13.2kW Rooftop Solar,Closed Lost,12878,2026-03-13,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmB6mQAF,David Doyle Residence - 13.2kW Rooftop Solar,Closed Won,13253,2026-04-09,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmBD6QAN,David Doyle Residence - 13.2kW Rooftop Solar,Closed Lost,10381,2026-05-06,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmB1SQAV,David Doyle Residence - 13.2kW Rooftop Solar,Closed Won,16440,2026-01-10,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmBDYQA3,David Doyle Residence - 13.2kW Rooftop Solar,Closed Lost,11486,2026-06-10,true,Hemayet Hossain,true,David Doyle Residence
006gK00000MmBAaQAN,Ella Ahmed Residence - 13.2kW Rooftop Solar,Closed Won,8725,2026-05-19,true,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000MmB3eQAF,Ella Ahmed Residence - 13.2kW Rooftop Solar,Closed Won,10823,2026-03-07,true,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000MmBVBQA3,Ella Ahmed Residence - 13.2kW Rooftop Solar,Id. Decision Makers,10112,2026-11-15,false,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000Mlg0bQAB,Ella Ahmed Residence - 13.2kW Rooftop Solar,Id. Decision Makers,15360,2026-10-16,false,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000MmB9gQAF,Ella Ahmed Residence - 13.2kW Rooftop Solar,Closed Won,12811,2026-06-09,true,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000MlfzJQAR,Ella Ahmed Residence - 13.2kW Rooftop Solar,Id. Decision Makers,9344,2026-10-26,false,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000MmB2kQAF,Ella Ahmed Residence - 13.2kW Rooftop Solar,Closed Won,15892,2026-03-21,true,Hemayet Hossain,true,Ella Ahmed Residence
006gK00000Mlg01QAB,Emma Jones Residence - 13.2kW Rooftop Solar,Needs Analysis,13824,2026-09-28,false,Hemayet Hossain,true,Emma Jones Residence
006gK00000MmBUvQAN,Emma Jones Residence - 13.2kW Rooftop Solar,Prospecting,12032,2026-09-18,false,Hemayet Hossain,true,Emma Jones Residence
006gK00000MmB5uQAF,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,9864,2026-03-17,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmBCqQAN,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,7952,2026-05-12,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmB4YQAV,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,13563,2026-02-21,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmB50QAF,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,14933,2026-03-31,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmBBUQA3,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,10934,2026-04-28,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmBBwQAN,Ethan Lee Residence - 13.2kW Rooftop Solar,Closed Lost,12038,2026-06-02,true,Hemayet Hossain,true,Ethan Lee Residence
006gK00000MmBV7QAN,Grace Whitfield Residence - 13.2kW Rooftop Solar,Id. Decision Makers,12544,2026-09-24,false,Hemayet Hossain,true,Grace Whitfield Residence
006gK00000MlfzFQAR,Grace Whitfield Residence - 13.2kW Rooftop Solar,Id. Decision Makers,11776,2026-09-04,false,Hemayet Hossain,true,Grace Whitfield Residence
006gK00000Mlg0HQAR,Hannah Smith Residence - 13.2kW Rooftop Solar,Qualification,11904,2026-11-25,false,Hemayet Hossain,true,Hannah Smith Residence
006gK00000MmBCGQA3,Harper Thompson Residence - 13.2kW Rooftop Solar,Closed Lost,11928,2026-04-10,true,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MlfzxQAB,Harper Thompson Residence - 13.2kW Rooftop Solar,Prospecting,16256,2026-08-07,false,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MmBDAQA3,Harper Thompson Residence - 13.2kW Rooftop Solar,Closed Lost,14136,2026-06-19,true,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MmB5KQAV,Harper Thompson Residence - 13.2kW Rooftop Solar,Closed Lost,14796,2026-02-09,true,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MmBUrQAN,Harper Thompson Residence - 13.2kW Rooftop Solar,Needs Analysis,14464,2026-07-28,false,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MmB6EQAV,Harper Thompson Residence - 13.2kW Rooftop Solar,Closed Lost,17536,2026-01-26,true,Hemayet Hossain,true,Harper Thompson Residence
006gK00000MmB1iQAF,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,11645,2026-01-06,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmB9YQAV,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,11596,2026-06-12,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmBA0QAN,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,12701,2026-04-17,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmB34QAF,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,15755,2026-01-30,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmBEiQAN,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Lost,9829,2026-05-14,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MlfzhQAB,Isabella Hall Residence - 13.2kW Rooftop Solar,Id. Decision Makers,10368,2026-11-07,false,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmB72QAF,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,9387,2026-04-03,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmBUbQAN,Isabella Hall Residence - 13.2kW Rooftop Solar,Qualification,16384,2026-10-28,false,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmB2cQAF,Isabella Hall Residence - 13.2kW Rooftop Solar,Closed Won,14385,2026-03-23,true,Hemayet Hossain,true,Isabella Hall Residence
006gK00000MmB5WQAV,James Nguyen Residence - 13.2kW Rooftop Solar,Closed Lost,13152,2026-03-23,true,Hemayet Hossain,true,James Nguyen Residence
006gK00000MmBDoQAN,James Nguyen Residence - 13.2kW Rooftop Solar,Closed Lost,13915,2026-06-04,true,Hemayet Hossain,true,James Nguyen Residence
006gK00000MmB5yQAF,James Nguyen Residence - 13.2kW Rooftop Solar,Closed Lost,14522,2026-01-30,true,Hemayet Hossain,true,James Nguyen Residence
006gK00000MmBCuQAN,James Nguyen Residence - 13.2kW Rooftop Solar,Closed Lost,11707,2026-06-25,true,Hemayet Hossain,true,James Nguyen Residence
006gK00000MmBCSQA3,James Nguyen Residence - 13.2kW Rooftop Solar,Closed Lost,10602,2026-05-21,true,Hemayet Hossain,true,James Nguyen Residence
006gK00000MmB2gQAF,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,11234,2026-02-05,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmBEmQAN,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Lost,13584,2026-06-27,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmB1KQAV,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,14933,2026-01-12,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmBV3QAN,Jessica Silva Residence - 13.2kW Rooftop Solar,Qualification,14976,2026-08-03,false,Hemayet Hossain,true,Jessica Silva Residence
006gK00000Mlg09QAB,Jessica Silva Residence - 13.2kW Rooftop Solar,Id. Decision Makers,8960,2026-08-13,false,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MlfzBQAR,Jessica Silva Residence - 13.2kW Rooftop Solar,Qualification,14208,2026-07-14,false,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmB9cQAF,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,9056,2026-04-26,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmB76QAF,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,13142,2026-05-17,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmB1mQAF,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,16303,2026-02-19,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmB6eQAF,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Won,12038,2026-04-12,true,Hemayet Hossain,true,Jessica Silva Residence
006gK00000MmBDsQAN,Jessica Silva Residence - 13.2kW Rooftop Solar,Closed Lost,11375,2026-04-18,true,Hemayet Hossain,true,Jessica Silva Residence
