Id,Name,Account.Name,Owner.Name,Owner.IsActive,StageName,Amount,CloseDate,LastActivityDate,CreatedDate,ForecastCategoryName
006gK00000MlfzAQAR,James Nguyen Residence - 6.6kW Rooftop Solar,James Nguyen Residence,OrgFarm EPIC,false,Prospecting,8960,2026-07-01,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBUpQAN,Sophie Wilson Residence - 13.2kW Rooftop Solar,Sophie Wilson Residence,Mia Kelly,true,Qualification,11776,2026-07-02,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBUSQA3,Benjamin Walker Residence - 6.6kW Rooftop Solar,Benjamin Walker Residence,OrgFarm EPIC,false,Qualification,16000,2026-07-03,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg0TQAR,Sarah Barnes Residence - 13.2kW Rooftop Solar,Sarah Barnes Residence,Hemayet Hossain,true,Needs Analysis,12416,2026-07-04,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg06QAB,Joshua Patel Residence - 6.6kW Rooftop Solar,Joshua Patel Residence,Jack Nguyen,true,Id. Decision Makers,16640,2026-07-05,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzjQAB,Sienna Lewis Residence - 13.2kW Rooftop Solar,Sienna Lewis Residence,Mia Kelly,true,Prospecting,13056,2026-07-06,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzMQAR,Thomas Hughes Residence - 6.6kW Rooftop Solar,Thomas Hughes Residence,OrgFarm EPIC,false,Id. Decision Makers,9472,2026-07-07,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBV1QAN,Hannah Smith Residence - 13.2kW Rooftop Solar,Hannah Smith Residence,Mia Kelly,true,Qualification,12288,2026-07-08,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBUeQAN,Daniel Clark Residence - 6.6kW Rooftop Solar,Daniel Clark Residence,OrgFarm EPIC,false,Needs Analysis,16512,2026-07-09,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg0fQAB,Zoe Foster Residence - 13.2kW Rooftop Solar,Zoe Foster Residence,Hemayet Hossain,true,Id. Decision Makers,12928,2026-07-10,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg0IQAR,James Nguyen Residence - 6.6kW Rooftop Solar,James Nguyen Residence,Jack Nguyen,true,Prospecting,9344,2026-07-11,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzvQAB,Ruby Harris Residence - 13.2kW Rooftop Solar,Ruby Harris Residence,Mia Kelly,true,Id. Decision Makers,13568,2026-07-12,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzYQAR,Liam Bennett Residence - 6.6kW Rooftop Solar,Liam Bennett Residence,OrgFarm EPIC,false,Needs Analysis,9984,2026-07-13,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzBQAR,Jessica Silva Residence - 13.2kW Rooftop Solar,Jessica Silva Residence,Hemayet Hossain,true,Qualification,14208,2026-07-14,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBUqQAN,Joshua Patel Residence - 6.6kW Rooftop Solar,Joshua Patel Residence,OrgFarm EPIC,false,Id. Decision Makers,9216,2026-07-15,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MmBUTQA3,Sienna Lewis Residence - 13.2kW Rooftop Solar,Sienna Lewis Residence,Hemayet Hossain,true,Prospecting,13440,2026-07-16,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg0UQAR,Thomas Hughes Residence - 6.6kW Rooftop Solar,Thomas Hughes Residence,Jack Nguyen,true,Id. Decision Makers,9856,2026-07-17,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000Mlg07QAB,Hannah Smith Residence - 13.2kW Rooftop Solar,Hannah Smith Residence,Mia Kelly,true,Needs Analysis,14080,2026-07-18,,2026-08-17T07:54:20.000+0000,Pipeline
006gK00000MlfzkQAB,Daniel Clark Residence - 6.6kW Rooftop Solar,Daniel Clark Residence,OrgFarm EPIC,false,Qualification,10496,2026-07-19,,2026-08-17T07:54:20.000+0000,Pipeline
